abortTrial	120
abortedTrials	0
absentTime	0.3
attenMax	18
attenMin	12
attenSteps	4
centerRewardP	0.1
centerValveTime	150
duration	250
holdIndii	1
holdMax	1001
holdMin	501
holdSteps	10
isi	250
includeLEDs	0
noiseDuration	200
nRefSpks	2
Nsounds	2
period	0.1
pitchRange	200
pitchSteps	1
refDuration	0.2
refractoryTime	1
repInterval 0	
response	[]
rewardTime	200
sides	[0,1]
soundCumulP	[0.5,1.0]
startResponseTime	[]
sumCorrect	0
tarDuration	0.2
lTar [8,7,6,5,4]
rTar	[2,3,4,5,6]
timeoutDuration	8
useLEDs	0
extraHard	0
singPres	0
